date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:03:31	6231/6231	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2006:03:30%20GMT	https://hoge.finance/robots.txt		(from )
09:03:31	27084/27084	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2006:03:30%20GMT	https://hoge.finance/	C:/My%20Web%20Sites/hoge/hoge.finance/index.html	(from )
09:03:32	148616/148616	---M-Z	200	added ('OK')	application/javascript	etag:W/%2224488-uObi/1SyfdamcSapk7nQUqQ6arU%22	https://cdn.jsdelivr.net/npm/tsparticles@1.24.1/dist/tsparticles.min.js	C:/My%20Web%20Sites/hoge/cdn.jsdelivr.net/npm/tsparticles@1.24.1/dist/tsparticles.min.js	(from https://hoge.finance/)
09:03:32	10866/10866	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2026%20Mar%202021%2006:03:31%20GMT	https://kit.fontawesome.com/9ac6c2f1ef.js	C:/My%20Web%20Sites/hoge/kit.fontawesome.com/9ac6c2f1ef.js	(from https://hoge.finance/)
09:03:33	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%22603e7578-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/hoge/code.jquery.com/jquery-3.6.0.min.js	(from https://hoge.finance/)
09:03:33	218266/218266	---MCZ	200	added ('OK')	text/css	etag:W/%226ff25d0d8d6dbcbf5bd8c5aa9b440d41%22	https://www.hoge.finance/style.048df0c138941231aa92daad92e5ec7d5661b343fc14c014da1117e31a9e28d2.css	C:/My%20Web%20Sites/hoge/www.hoge.finance/style.048df0c138941231aa92daad92e5ec7d5661b343fc14c014da1117e31a9e28d2.css	(from https://hoge.finance/)
09:03:33	4140/4140	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ef61615679ea21620dcb7c718df9180%22	https://hoge.finance/js/navbar.js	C:/My%20Web%20Sites/hoge/hoge.finance/js/navbar.js	(from https://hoge.finance/)
09:03:34	4026/4026	---M--	200	added ('OK')	image/png	etag:%229079bfb750d656293ca8251355ec1582%22	https://www.hoge.finance/img/favicon.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/favicon.png	(from https://hoge.finance/)
09:03:34	34044/34044	---M--	200	added ('OK')	image/png	etag:%22bf8d35f9c60ad97e22fce841afd2f186%22	https://www.hoge.finance/img/webclip.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/webclip.png	(from https://hoge.finance/)
09:03:34	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2026%20Mar%202021%2006:03:33%20GMT	https://hoge.finance/fr	C:/My%20Web%20Sites/hoge/hoge.finance/fr.7.delayed	(from https://hoge.finance/)
09:03:35	27084/27084	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2006:03:34%20GMT	https://hoge.finance/nl	C:/My%20Web%20Sites/hoge/hoge.finance/nl.html	(from https://hoge.finance/)
09:03:35	36047/36047	---M--	200	added ('OK')	image/png	etag:%227a1cba72bfa2a97b12fd7a6f15e3ac4c%22	https://www.hoge.finance/img/rich_hoge.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/rich_hoge.png	(from https://hoge.finance/)
09:03:35	10745/10745	---M--	200	added ('OK')	image/png	etag:%22b48fdeb3d29fb138cf74248f21d5a57d%22	https://www.hoge.finance/img/whitebit_logo.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/whitebit_logo.png	(from https://hoge.finance/)
09:03:35	24703/24703	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2006:03:34%20GMT	https://hoge.finance/fr/	C:/My%20Web%20Sites/hoge/hoge.finance/fr/index.html	(from https://hoge.finance/)
09:03:35	2782/2782	---M--	200	added ('OK')	image/png	etag:%227bec7d538d8d0efde9d4e69b29d9938c%22	https://www.hoge.finance/img/bkex_logo.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/bkex_logo.png	(from https://hoge.finance/)
09:03:36	10416/10416	---M--	200	added ('OK')	image/png	etag:%2212a1a53eda5e4dbcbaaa3993754786ef%22	https://www.hoge.finance/img/coinmarketcap_logo.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/coinmarketcap_logo.png	(from https://hoge.finance/)
09:03:36	20060/20060	---M--	200	added ('OK')	image/png	etag:%226b8ba55c679e29aac0d89bf433b3a2b7%22	https://www.hoge.finance/img/coinbase_logo.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/coinbase_logo.png	(from https://hoge.finance/)
09:03:36	5429/5429	---M--	200	added ('OK')	image/png	etag:%22586836ff1160a63b7dc069e680742eba%22	https://www.hoge.finance/img/coingecko_logo.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/coingecko_logo.png	(from https://hoge.finance/)
09:03:36	94557/94557	---M--	200	added ('OK')	image/png	etag:%22f180e13a654c87f406d112c48f4a36ae%22	https://www.hoge.finance/img/professor_hoge.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/professor_hoge.png	(from https://hoge.finance/)
09:03:37	210205/210205	---M--	200	added ('OK')	image/png	etag:%22a9fdae6dd381a2561b2646a72a2e0b17%22	https://www.hoge.finance/img/swag_hoge.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/swag_hoge.png	(from https://hoge.finance/)
09:03:37	74095/74095	---M--	200	added ('OK')	image/jpeg	etag:%22f0cec3292da62a2a774caa44bf3decfa%22	https://www.hoge.finance/img/how_to_buy_1.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/how_to_buy_1.jpg	(from https://hoge.finance/)
09:03:37	60745/60745	---M--	200	added ('OK')	image/jpeg	etag:%22f5740b7bee97c664d0a416210e7353b6%22	https://www.hoge.finance/img/how_to_buy_2.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/how_to_buy_2.jpg	(from https://hoge.finance/)
09:03:37	79867/79867	---M--	200	added ('OK')	image/jpeg	etag:%22ad09636f7cab62594383c9d9aa0556cd%22	https://www.hoge.finance/img/how_to_buy_3.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/how_to_buy_3.jpg	(from https://hoge.finance/)
09:03:38	78846/78846	---M--	200	added ('OK')	image/png	etag:%2274e3842b38377de98c79fdc2da90f6a8%22	https://www.hoge.finance/img/king_hoge.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/king_hoge.png	(from https://hoge.finance/)
09:03:38	38688/38688	---M--	200	added ('OK')	image/jpeg	etag:%225433a3fba855d91d2645e68296261e7c%22	https://www.hoge.finance/img/game1.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/game1.jpg	(from https://hoge.finance/)
09:03:38	34794/34794	---M--	200	added ('OK')	image/jpeg	etag:%22b6c9498686da12a8772a32a1441ccf48%22	https://www.hoge.finance/img/game2.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/game2.jpg	(from https://hoge.finance/)
09:03:38	30082/30082	---M--	200	added ('OK')	image/jpeg	etag:%2220fb91132940c537126cac297b763680%22	https://www.hoge.finance/img/game3.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/game3.jpg	(from https://hoge.finance/)
09:03:39	186173/186173	---M--	200	added ('OK')	image/jpeg	etag:%22d0320e7faf34354df92af1b0c40404a9%22	https://www.hoge.finance/img/nft_donations.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/nft_donations.jpg	(from https://hoge.finance/)
09:03:39	198477/198477	---M--	200	added ('OK')	image/jpeg	etag:%221886c4a4eede859b3ac3e3841e738b5e%22	https://www.hoge.finance/img/nft_gold.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/nft_gold.jpg	(from https://hoge.finance/)
09:03:39	162504/162504	---M--	200	added ('OK')	image/jpeg	etag:%22a61e7ad76b358233a37fcde2ecd371c4%22	https://www.hoge.finance/img/nft_magic.jpg	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/nft_magic.jpg	(from https://hoge.finance/)
09:03:39	66306/66306	---M--	200	added ('OK')	image/png	etag:%2255d76818c6c7e8358d1439c848e6eb3a%22	https://www.hoge.finance/img/hoge_army_tshirt_mens.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/hoge_army_tshirt_mens.png	(from https://hoge.finance/)
09:03:39	64247/64247	---M--	200	added ('OK')	image/png	etag:%22e47ba583e56f6947a4896147c789d0b7%22	https://www.hoge.finance/img/hoge_army_tshirt_womens.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/hoge_army_tshirt_womens.png	(from https://hoge.finance/)
09:03:40	85870/85870	---M--	200	added ('OK')	image/png	etag:%22af8d84eb3555b00657583a124b57cfe5%22	https://www.hoge.finance/img/moonhoge.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/moonhoge.png	(from https://hoge.finance/)
09:03:40	4233/4233	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2006:03:39%20GMT	https://hoge.finance/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/hoge/hoge.finance/cdn-cgi/l/email-protection.html	(from https://hoge.finance/)
09:03:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22605c82da-4d7%22	https://hoge.finance/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/hoge/hoge.finance/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://hoge.finance/)
09:03:41	73487/73487	---M--	200	added ('OK')	image/png	etag:%225cd7f58b1621ec62238ae56809782ed3%22	https://www.hoge.finance/img/hogelogo.png	C:/My%20Web%20Sites/hoge/www.hoge.finance/img/hogelogo.png	(from https://www.hoge.finance/style.048df0c138941231aa92daad92e5ec7d5661b343fc14c014da1117e31a9e28d2.css)
